iter	Passed	Remaining
0	142	142147
1	143	71450
2	144	47888
3	144	36091
4	145	29022
5	146	24303
6	147	20930
7	148	18396
8	149	16430
9	150	14853
10	150	13564
11	151	12490
12	152	11593
13	153	10831
14	154	10163
15	155	9574
16	156	9054
17	157	8595
18	158	8181
19	159	7809
20	160	7473
21	161	7171
22	162	6888
23	163	6630
24	163	6392
25	164	6172
26	165	5966
27	166	5777
28	167	5602
29	168	5438
30	169	5284
31	169	5138
32	170	5002
33	171	4873
34	172	4752
35	173	4636
36	173	4528
37	174	4424
38	175	4326
39	176	4233
40	177	4144
41	177	4059
42	178	3978
43	179	3901
44	180	3826
45	181	3757
46	181	3689
47	182	3624
48	183	3562
49	184	3502
50	185	3444
51	185	3389
52	186	3336
53	187	3284
54	188	3235
55	189	3187
56	189	3141
57	190	3097
58	191	3054
59	192	3012
60	193	2971
61	193	2932
62	194	2894
63	195	2858
64	196	2822
65	197	2788
66	197	2754
67	198	2717
68	199	2685
69	199	2654
70	200	2625
71	201	2596
72	202	2567
73	203	2540
74	203	2513
75	204	2487
76	205	2461
77	206	2436
78	206	2412
79	207	2388
80	208	2364
81	209	2342
82	210	2321
83	210	2300
84	211	2277
85	212	2257
86	212	2235
87	213	2215
88	214	2196
89	215	2177
90	216	2159
91	216	2141
92	217	2123
93	218	2106
94	219	2089
95	220	2073
96	221	2058
97	222	2043
98	222	2028
99	224	2016
100	224	2002
101	225	1984
102	226	1969
103	226	1955
104	227	1940
105	228	1926
106	229	1913
107	229	1899
108	230	1885
109	231	1873
110	232	1859
111	232	1847
112	233	1834
113	234	1821
114	235	1808
115	235	1795
116	236	1783
117	237	1773
118	237	1761
119	238	1751
120	239	1740
121	240	1729
122	240	1716
123	241	1706
124	242	1696
125	243	1686
126	243	1676
127	244	1664
128	244	1653
129	245	1643
130	246	1634
131	246	1624
132	247	1614
133	248	1604
134	248	1595
135	249	1585
136	250	1576
137	250	1566
138	251	1558
139	252	1550
140	253	1541
141	253	1533
142	254	1524
143	255	1516
144	255	1508
145	256	1500
146	257	1492
147	257	1484
148	258	1477
149	259	1469
150	260	1462
151	260	1454
152	261	1447
153	262	1440
154	262	1432
155	263	1425
156	264	1419
157	265	1412
158	265	1406
159	266	1399
160	267	1393
161	268	1386
162	268	1380
163	269	1374
164	270	1368
165	271	1362
166	271	1355
167	272	1349
168	273	1343
169	273	1337
170	274	1331
171	275	1325
172	275	1319
173	276	1313
174	277	1307
175	278	1303
176	279	1298
177	279	1292
178	280	1287
179	281	1282
180	281	1276
181	282	1270
182	283	1265
183	284	1260
184	284	1254
185	285	1249
186	286	1244
187	286	1239
188	287	1234
189	288	1229
190	289	1224
191	289	1219
192	290	1214
193	291	1209
194	291	1205
195	292	1200
196	293	1196
197	294	1191
198	294	1187
199	295	1182
200	296	1179
201	297	1175
202	298	1171
203	299	1166
204	299	1162
205	300	1158
206	301	1153
207	301	1149
208	302	1145
209	303	1141
210	304	1136
211	304	1133
212	305	1129
213	306	1125
214	307	1121
215	307	1117
216	308	1113
217	309	1109
218	309	1105
219	310	1101
220	311	1097
221	312	1093
222	312	1090
223	313	1086
224	314	1082
225	314	1078
226	315	1074
227	316	1071
228	316	1067
229	317	1063
230	318	1059
231	319	1056
232	319	1052
233	320	1049
234	321	1046
235	322	1043
236	322	1039
237	323	1036
238	324	1032
239	324	1028
240	325	1025
241	326	1021
242	326	1018
243	327	1014
244	328	1011
245	328	1007
246	329	1004
247	330	1001
248	330	997
249	331	994
250	332	990
251	332	987
252	333	984
253	334	981
254	334	978
255	335	975
256	336	973
257	337	969
258	337	966
259	338	963
260	339	960
261	339	957
262	340	953
263	341	950
264	341	947
265	342	944
266	343	941
267	343	938
268	344	935
269	344	932
270	345	929
271	346	926
272	346	923
273	347	920
274	348	917
275	348	915
276	349	912
277	350	909
278	350	906
279	351	904
280	352	901
281	352	898
282	353	895
283	354	893
284	354	890
285	355	887
286	356	884
287	356	882
288	357	879
289	358	876
290	358	874
291	359	871
292	360	868
293	360	866
294	361	863
295	361	860
296	362	858
297	363	856
298	364	853
299	364	851
300	365	848
301	366	845
302	366	843
303	367	840
304	367	838
305	368	835
306	369	833
307	369	830
308	370	828
309	370	825
310	371	823
311	372	820
312	372	818
313	373	815
314	374	813
315	374	810
316	375	808
317	375	806
318	376	803
319	377	801
320	377	799
321	378	797
322	379	794
323	379	792
324	380	790
325	381	788
326	381	785
327	382	783
328	383	781
329	383	779
330	384	777
331	385	774
332	385	772
333	386	770
334	387	768
335	387	766
336	388	764
337	389	762
338	389	759
339	390	757
340	391	756
341	391	754
342	392	751
343	393	749
344	393	747
345	394	745
346	395	743
347	395	741
348	396	739
349	396	737
350	397	735
351	398	733
352	398	731
353	399	729
354	400	727
355	400	724
356	401	722
357	402	720
358	402	718
359	403	716
360	403	715
361	404	713
362	405	711
363	405	709
364	406	707
365	407	705
366	407	703
367	408	701
368	409	699
369	409	697
370	410	695
371	410	693
372	411	691
373	412	689
374	412	688
375	413	686
376	414	684
377	414	682
378	415	680
379	416	678
380	416	676
381	417	675
382	417	673
383	418	671
384	419	669
385	419	667
386	420	666
387	421	664
388	421	662
389	422	660
390	422	658
391	423	657
392	424	655
393	424	653
394	425	651
395	426	649
396	426	648
397	427	646
398	428	644
399	428	642
400	429	641
401	429	639
402	430	637
403	431	636
404	431	634
405	432	632
406	433	631
407	433	629
408	434	628
409	435	626
410	435	624
411	436	622
412	437	621
413	437	619
414	438	617
415	438	616
416	439	614
417	440	613
418	440	611
419	441	609
420	442	608
421	443	606
422	443	605
423	444	603
424	445	602
425	445	600
426	446	599
427	447	597
428	448	596
429	448	594
430	449	593
431	450	591
432	450	590
433	451	588
434	452	587
435	452	585
436	453	584
437	454	582
438	454	581
439	455	579
440	456	578
441	456	576
442	457	575
443	457	573
444	458	571
445	459	570
446	459	568
447	460	567
448	461	566
449	462	565
450	463	563
451	463	562
452	464	560
453	465	559
454	465	557
455	466	556
456	467	554
457	467	553
458	468	552
459	469	550
460	469	549
461	470	548
462	471	546
463	472	545
464	472	543
465	473	542
466	474	541
467	475	540
468	475	538
469	476	537
470	477	536
471	477	534
472	478	533
473	479	531
474	480	530
475	480	529
476	481	528
477	482	526
478	483	525
479	483	524
480	484	522
481	485	521
