iter	Passed	Remaining
0	156	156055
1	157	78650
2	158	52663
3	159	39646
4	160	31850
5	160	26633
6	161	22923
7	162	20171
8	163	18009
9	164	16265
10	165	14842
11	166	13680
12	166	12670
13	167	11814
14	168	11083
15	169	10432
16	170	9853
17	171	9337
18	171	8874
19	172	8457
20	173	8085
21	174	7743
22	174	7431
23	175	7142
24	176	6877
25	177	6635
26	177	6411
27	178	6202
28	179	6014
29	180	5835
30	181	5665
31	182	5506
32	182	5355
33	183	5212
34	184	5076
35	184	4952
36	185	4834
37	186	4722
38	187	4614
39	188	4513
40	188	4416
41	189	4323
42	190	4235
43	191	4159
44	192	4078
45	192	4001
46	193	3926
47	194	3857
48	195	3789
49	196	3727
50	197	3666
51	197	3607
52	198	3549
53	199	3493
54	200	3440
55	201	3388
56	201	3337
57	202	3292
58	203	3247
59	204	3202
60	205	3158
61	206	3116
62	206	3075
63	207	3034
64	208	2998
65	209	2961
66	209	2924
67	210	2889
68	211	2855
69	212	2821
70	213	2788
71	214	2758
72	214	2727
73	215	2697
74	216	2667
75	217	2639
76	217	2612
77	218	2586
78	219	2560
79	220	2536
80	221	2510
81	222	2487
82	222	2459
83	223	2436
84	224	2415
85	225	2392
86	225	2371
87	226	2350
88	227	2329
89	228	2309
90	229	2288
91	229	2268
92	230	2250
93	232	2239
94	233	2220
95	234	2204
96	234	2186
97	235	2169
98	236	2152
99	237	2135
100	238	2120
101	239	2104
102	239	2088
103	240	2073
104	241	2059
105	242	2045
106	243	2032
107	244	2019
108	245	2005
109	246	1992
110	247	1978
111	247	1964
112	248	1951
113	249	1939
114	250	1926
115	251	1915
116	251	1901
117	252	1889
118	253	1877
119	254	1865
120	255	1854
121	255	1842
122	256	1830
123	257	1819
124	258	1808
125	259	1797
126	259	1785
127	260	1774
128	261	1764
129	262	1754
130	262	1743
131	263	1733
132	264	1723
133	265	1713
134	265	1703
135	266	1693
136	267	1684
137	268	1675
138	268	1666
139	269	1656
140	270	1647
141	271	1638
142	271	1629
143	272	1621
144	273	1613
145	274	1606
146	275	1598
147	276	1590
148	277	1583
149	277	1575
150	278	1566
151	279	1559
152	280	1551
153	280	1543
154	281	1535
155	282	1528
156	283	1520
157	283	1513
158	284	1506
159	285	1499
160	286	1490
161	286	1483
162	287	1477
163	288	1470
164	289	1463
165	289	1456
166	290	1449
167	291	1444
168	292	1438
169	293	1432
170	294	1425
171	294	1419
172	295	1412
173	296	1406
174	297	1401
175	297	1394
176	298	1389
177	299	1383
178	300	1377
179	301	1371
180	301	1365
181	302	1359
182	303	1354
183	304	1349
184	304	1343
185	305	1338
186	306	1332
187	307	1327
188	307	1321
189	308	1316
190	309	1310
191	310	1305
192	311	1300
193	311	1295
194	312	1290
195	313	1286
196	314	1280
197	315	1276
198	315	1271
199	316	1266
200	317	1261
201	318	1256
202	318	1251
203	319	1246
204	320	1241
205	321	1237
206	321	1232
207	322	1228
208	323	1223
209	323	1218
210	325	1217
211	326	1214
212	327	1211
213	328	1207
214	329	1203
215	330	1199
216	331	1194
217	331	1190
218	332	1186
219	333	1182
220	334	1178
221	335	1174
222	336	1170
223	337	1167
224	337	1164
225	339	1162
226	340	1159
227	341	1157
228	342	1154
229	343	1150
230	345	1149
231	346	1146
232	347	1142
233	348	1139
234	348	1136
235	349	1132
236	350	1129
237	351	1126
238	352	1122
239	353	1119
240	355	1118
241	356	1115
242	357	1112
243	358	1109
244	359	1107
245	360	1104
246	361	1100
247	361	1097
248	362	1094
249	363	1091
250	364	1089
251	365	1086
252	366	1082
253	367	1080
254	368	1077
255	369	1074
256	370	1070
257	371	1067
258	372	1064
259	372	1061
260	374	1059
261	375	1056
262	376	1053
263	376	1050
264	378	1049
265	379	1045
266	380	1043
267	380	1040
268	381	1037
269	382	1034
270	383	1031
271	384	1028
272	385	1025
273	385	1022
274	386	1019
275	387	1016
276	388	1013
277	389	1010
278	389	1007
279	390	1005
280	392	1003
281	393	1001
282	394	998
283	395	997
284	396	994
285	397	992
286	398	989
287	399	987
288	400	984
289	400	981
290	401	978
291	402	976
292	403	973
293	404	970
294	405	968
295	405	965
296	406	963
297	407	960
298	408	957
299	409	955
